"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.33","0.01772","10.35","0.0006151","0.0008381","0.001324"
"0.0125","8.915","0.01919","8.934","0.000876","0.001057","0.001676"
"0.015","7.886","0.02037","7.907","0.001174","0.001274","0.002036"
"0.0175","7.102","0.02136","7.124","0.001508","0.001491","0.002403"
"0.02","6.482","0.0222","6.505","0.001876","0.001705","0.002779"
"0.025","5.561","0.02359","5.585","0.002708","0.002128","0.003552"
"0.03","4.907","0.0247","4.931","0.003663","0.002543","0.004353"
"0.035","4.416","0.02565","4.441","0.004734","0.00295","0.005182"
"0.04","4.032","0.02647","4.059","0.005913","0.00335","0.006036"
"0.045","3.725","0.02719","3.752","0.007196","0.003743","0.006914"
"0.05","3.472","0.02785","3.5","0.008577","0.004129","0.007816"
"0.055","3.26","0.02846","3.288","0.01005","0.004509","0.008739"
"0.06","3.08","0.02902","3.109","0.01162","0.004883","0.009683"
"0.07","2.79","0.03005","2.82","0.015","0.005614","0.01163"
"0.08","2.566","0.03098","2.597","0.0187","0.006324","0.01365"
"0.09","2.388","0.03182","2.42","0.02269","0.007015","0.01573"
"0.1","2.244","0.03261","2.276","0.02696","0.007688","0.01786"
"0.125","1.978","0.0344","2.012","0.03868","0.009296","0.02341"
"0.15","1.796","0.03599","1.832","0.05173","0.01081","0.02922"
"0.175","1.665","0.03746","1.703","0.06591","0.01224","0.03522"
"0.2","1.567","0.03887","1.606","0.08105","0.0136","0.04138"
"0.25","1.429","0.0416","1.471","0.1137","0.01614","0.05407"
"0.3","1.34","0.04434","1.384","0.1488","0.01848","0.06713"
"0.35","1.278","0.04713","1.325","0.1858","0.02067","0.08044"
"0.4","1.233","0.04999","1.283","0.2242","0.02275","0.09391"
"0.45","1.2","0.05295","1.253","0.2636","0.02473","0.1075"
"0.5","1.175","0.05599","1.231","0.3039","0.02665","0.1211"
"0.55","1.156","0.05911","1.215","0.3448","0.0285","0.1347"
"0.6","1.141","0.06229","1.204","0.3861","0.03031","0.1482"
"0.7","1.121","0.06885","1.19","0.4697","0.03381","0.1751"
"0.8","1.11","0.07562","1.185","0.554","0.03719","0.2016"
"0.9","1.103","0.0826","1.185","0.6384","0.04047","0.2278"
"1","1.099","0.08974","1.189","0.7226","0.04368","0.2534"
"1.25","1.1","0.1083","1.208","0.9313","0.05147","0.3157"
"1.5","1.106","0.1279","1.234","1.136","0.059","0.3753"
"1.75","1.115","0.148","1.263","1.337","0.06635","0.4327"
"2","1.125","0.1688","1.293","1.532","0.07355","0.488"
"2.5","1.144","0.2118","1.356","1.91","0.08753","0.5934"
"3","1.163","0.2562","1.419","2.27","0.101","0.6928"
"3.5","1.18","0.3017","1.482","2.615","0.114","0.7867"
"4","1.195","0.3482","1.543","2.945","0.1266","0.8755"
"4.5","1.209","0.3955","1.604","3.263","0.1388","0.9596"
"5","1.221","0.4435","1.665","3.569","0.1506","1.039"
"5.5","1.233","0.4921","1.725","3.864","0.1619","1.115"
"6","1.243","0.5413","1.785","4.149","0.173","1.188"
"7","1.262","0.6412","1.903","4.691","0.194","1.323"
"8","1.278","0.7428","2.021","5.201","0.2138","1.446"
"9","1.292","0.8458","2.138","5.682","0.2325","1.561"
"10","1.305","0.9502","2.255","6.138","0.2501","1.668"
"12.5","1.33","1.215","2.546","7.181","0.2902","1.908"
"15","1.351","1.486","2.837","8.11","0.3254","2.119"
"17.5","1.368","1.761","3.129","8.949","0.3566","2.308"
"20","1.382","2.039","3.421","9.713","0.3845","2.48"
"25","1.405","2.603","4.008","11.06","0.4324","2.783"
"30","1.423","3.176","4.599","12.23","0.4721","3.045"
"35","1.437","3.755","5.193","13.25","0.5058","3.275"
"40","1.45","4.34","5.79","14.16","0.5346","3.481"
"45","1.46","4.929","6.39","14.98","0.5598","3.666"
"50","1.47","5.522","6.991","15.73","0.5819","3.835"
"55","1.478","6.117","7.595","16.42","0.6015","3.99"
"60","1.485","6.716","8.201","17.05","0.6191","4.134"
"70","1.498","7.919","9.417","18.19","0.6493","4.392"
"80","1.509","9.129","10.64","19.18","0.6743","4.62"
"90","1.519","10.35","11.86","20.07","0.6956","4.824"
"100","1.527","11.57","13.09","20.88","0.7138","5.009"
"125","1.544","14.63","16.18","22.59","0.75","5.408"
"150","1.558","17.71","19.27","24.01","0.777","5.741"
"175","1.569","20.81","22.38","25.21","0.7981","6.026"
"200","1.578","23.91","25.49","26.25","0.8151","6.275"
"250","1.594","30.13","31.73","28.01","0.841","6.696"
"300","1.607","36.37","37.98","29.45","0.8598","7.043"
"350","1.618","42.62","44.23","30.67","0.8742","7.339"
"400","1.627","48.87","50.5","31.72","0.8857","7.596"
"450","1.635","55.14","56.77","32.66","0.895","7.824"
"500","1.642","61.41","63.05","33.49","0.9027","8.029"
"550","1.648","67.69","69.34","34.25","0.9093","8.214"
"600","1.654","73.97","75.62","34.94","0.915","8.384"
"700","1.664","86.54","88.2","36.16","0.9242","8.686"
"800","1.673","99.12","100.8","37.22","0.9315","8.948"
"900","1.681","111.7","113.4","38.16","0.9374","9.181"
"1000","1.687","124.3","126","38.99","0.9422","9.389"
